Year,Day,Month,Hour,Weather_Condition,Wind_Chill(F),Precipitation(in),Temperature(F),Humidity(%),Wind_Speed(mph),Visibility(mi),Selected
2017,20,04,18,Partly Cloudy,,,62.1,53.0,23.0,10.0,No
2019,12,12,17,Mostly Cloudy,59.0,0.0,59.0,90.0,5.0,10.0,No
2017,28,02,19,Clear,,,51.1,74.0,8.1,10.0,No
2019,25,04,08,Fair,60.0,0.0,60.0,75.0,5.0,8.0,No
2019,08,05,14,Fair,66.0,0.0,66.0,60.0,20.0,10.0,No
2017,01,08,16,Partly Cloudy,,,68.0,59.0,21.9,10.0,No
2018,01,01,03,Scattered Clouds,,,48.0,89.0,,8.0,No
2020,17,11,20,Cloudy,61.0,0.0,61.0,81.0,8.0,10.0,No
2016,13,10,16,Mostly Cloudy,,,71.6,53.0,10.4,10.0,No
2018,24,08,16,Scattered Clouds,,,66.0,68.0,21.9,9.0,No
2016,01,06,09,Partly Cloudy,,,63.0,70.0,6.9,10.0,No
2018,04,02,01,Partly Cloudy,,,55.0,89.0,,10.0,No
2016,14,10,09,Light Rain,,0.0,66.9,84.0,17.3,5.0,No
2016,18,08,16,Partly Cloudy,,,70.0,65.0,17.3,10.0,No
2020,17,12,06,Mostly Cloudy,53.0,0.0,53.0,86.0,10.0,8.0,No
2019,07,10,08,Mostly Cloudy,66.0,0.0,66.0,65.0,3.0,10.0,No
2020,26,02,16,Partly Cloudy,70.0,0.0,70.0,33.0,9.0,10.0,No
2020,17,04,16,Mostly Cloudy,59.0,0.0,59.0,60.0,20.0,10.0,No
2017,12,04,13,Mostly Cloudy,,,63.0,50.0,18.4,10.0,No
2020,19,04,20,Fair,55.0,0.0,55.0,69.0,10.0,10.0,No
2017,15,02,16,Mostly Cloudy,,,60.1,72.0,3.5,10.0,No
2018,12,10,20,Clear,,,66.9,33.0,16.1,10.0,No
2019,06,09,13,Fair,68.0,0.0,68.0,63.0,20.0,10.0,No
2019,03,09,19,Fair,64.0,0.0,64.0,78.0,17.0,10.0,No
2019,15,08,17,Fair,81.0,0.0,81.0,44.0,14.0,10.0,No
2019,15,10,18,Fair / Windy,59.0,0.0,59.0,69.0,21.0,10.0,No
2019,25,12,22,Cloudy / Windy,50.0,0.0,50.0,71.0,22.0,10.0,No
2020,06,04,15,Rain,50.0,0.09,50.0,80.0,10.0,4.0,No
2017,13,12,18,Scattered Clouds,,,50.0,68.0,4.6,10.0,No
2018,17,02,09,Clear,,,55.9,49.0,3.5,10.0,No
2018,08,11,09,Clear,,,64.0,37.0,6.9,10.0,No
2020,06,11,22,Mostly Cloudy,53.0,0.0,53.0,71.0,7.0,10.0,No
2019,14,10,18,Fair,55.0,0.0,55.0,80.0,14.0,10.0,No
2019,17,09,09,Fair,67.0,0.0,67.0,66.0,5.0,10.0,No
2016,18,08,21,Partly Cloudy,,,60.1,86.0,10.4,10.0,No
2019,19,09,21,Fair,66.0,0.0,66.0,63.0,5.0,10.0,No
2018,13,05,17,Partly Cloudy,,,63.0,65.0,16.1,10.0,No
2019,18,10,23,Fair,51.0,0.0,51.0,86.0,0.0,10.0,No
2019,03,04,21,Cloudy,56.0,0.0,56.0,75.0,6.0,10.0,No
2020,01,05,21,Mostly Cloudy,56.0,0.0,56.0,87.0,10.0,10.0,No
2018,08,01,13,Rain,,0.08,54.0,93.0,3.5,2.0,No
2017,20,12,18,Partly Cloudy,,,50.0,68.0,13.8,10.0,No
2020,25,06,11,Fair,67.0,0.0,67.0,66.0,8.0,10.0,No
2020,25,11,16,Fair,62.0,0.0,62.0,53.0,13.0,10.0,No
2019,31,08,12,Fair,75.0,0.0,75.0,51.0,5.0,10.0,No
2018,10,09,14,Clear,,,73.0,53.0,13.8,10.0,No
2020,28,02,19,Mostly Cloudy,52.0,0.0,52.0,83.0,13.0,10.0,No
2018,15,06,09,Partly Cloudy,,,62.1,62.0,9.2,10.0,No
2016,09,09,08,Overcast,,,60.1,78.0,,8.0,No
2017,13,07,11,Partly Cloudy,,,68.0,65.0,8.1,10.0,No
2016,25,03,13,Scattered Clouds,,,64.9,58.0,13.8,10.0,No
2018,07,02,18,Clear,,,66.0,56.0,,10.0,No
2020,21,04,19,Fair / Windy,57.0,0.0,57.0,67.0,21.0,10.0,No
2019,09,10,14,Fair,69.0,0.0,69.0,39.0,14.0,10.0,No
2017,15,12,07,Haze,41.2,,45.0,86.0,6.9,5.0,No
2016,18,04,06,Mostly Cloudy,,,54.0,75.0,3.5,10.0,No
2018,24,05,13,Mostly Cloudy,,,63.0,56.0,9.2,10.0,No
2020,24,11,20,Fair,53.0,0.0,53.0,80.0,10.0,10.0,No
2016,05,08,12,Mostly Cloudy,,,64.9,70.0,11.5,10.0,No
2017,04,04,13,Scattered Clouds,,,63.0,63.0,5.8,10.0,No
2019,03,10,12,Fair,67.0,0.0,67.0,52.0,8.0,10.0,No
2020,01,12,22,Fair,49.0,0.0,49.0,66.0,3.0,10.0,No
2017,06,06,08,Scattered Clouds,,,59.0,67.0,13.8,10.0,No
2017,11,10,06,Mostly Cloudy,,,50.0,96.0,4.6,7.0,No
2020,09,10,16,Mostly Cloudy,69.0,0.0,69.0,63.0,8.0,10.0,No
2017,12,03,06,Shallow Fog,,,48.9,100.0,4.6,10.0,No
2020,26,01,04,Light Rain,57.0,0.07,57.0,89.0,0.0,10.0,No
2020,13,02,14,Cloudy,56.0,0.0,56.0,69.0,15.0,10.0,No
2020,07,02,19,Fair,53.0,0.0,53.0,83.0,7.0,10.0,No
2018,23,07,09,Overcast,,,60.1,86.0,6.9,6.0,No
2018,27,12,15,Partly Cloudy,,,61.0,24.0,16.1,10.0,No
2018,10,08,13,Partly Cloudy,,,69.1,54.0,20.7,10.0,No
2017,04,04,18,Mostly Cloudy,,,60.1,49.0,13.8,10.0,No
2019,22,02,17,Partly Cloudy,,,53.1,47.0,13.8,10.0,No
2019,07,08,20,Fair,62.0,0.0,62.0,75.0,12.0,10.0,No
2016,24,06,14,Clear,,,75.0,44.0,16.1,10.0,No
2016,06,12,09,Mostly Cloudy,,,50.0,61.0,3.5,10.0,No
2018,10,12,13,Scattered Clouds,,,53.6,77.0,,9.0,No
2017,27,10,14,Clear,,,73.9,57.0,4.6,10.0,No
2019,05,10,15,Fair,79.0,0.0,79.0,30.0,12.0,10.0,No
2019,06,12,22,Light Rain,55.0,0.15,55.0,94.0,10.0,3.0,No
2016,22,12,14,Partly Cloudy,,,61.0,34.0,,10.0,No
2020,04,04,17,Light Rain,55.0,0.02,55.0,89.0,14.0,5.0,No
2020,16,04,20,Cloudy,55.0,0.0,55.0,77.0,8.0,10.0,No
2019,31,05,13,Fair / Windy,66.0,0.0,66.0,60.0,21.0,10.0,No
2017,13,07,01,Partly Cloudy,,,57.0,89.0,5.8,10.0,No
2018,27,09,18,Mostly Cloudy,,,57.9,87.0,12.7,10.0,No
2018,04,09,12,Partly Cloudy,,,64.9,73.0,8.1,10.0,No
2017,28,01,15,Partly Cloudy,,,57.0,62.0,4.6,10.0,No
2019,08,07,20,Mostly Cloudy,61.0,0.0,61.0,75.0,16.0,10.0,No
2018,26,09,11,Mostly Cloudy,,,61.0,81.0,3.5,9.0,No
2016,10,05,08,Overcast,,,55.9,93.0,,8.0,No
2018,02,02,18,Scattered Clouds,,,57.9,84.0,5.8,10.0,No
2018,02,11,07,Clear,,,55.0,86.0,6.9,10.0,No
2017,31,05,08,Partly Cloudy,,,57.9,72.0,15.0,10.0,No
2019,14,12,23,Mostly Cloudy,53.0,0.0,53.0,66.0,14.0,10.0,No
2016,09,11,11,Partly Cloudy,,,66.0,75.0,4.6,10.0,No
2019,19,09,16,Fair,72.0,0.0,72.0,48.0,18.0,10.0,No
2017,21,08,06,Overcast,,,61.0,87.0,9.2,10.0,No
2018,31,12,13,Partly Cloudy,,,57.9,23.0,18.4,10.0,No
2017,13,12,07,Partly Cloudy,,,46.9,83.0,6.9,10.0,No
2016,22,04,10,Light Rain,,0.0,57.0,93.0,18.4,10.0,No
2018,30,01,14,Mostly Cloudy,,,64.0,56.0,4.6,10.0,No
2019,25,04,05,Fair,53.0,0.0,53.0,83.0,10.0,10.0,No
2017,10,02,18,Mostly Cloudy,,,55.0,83.0,10.4,10.0,No
2018,22,03,18,Scattered Clouds,,,53.1,61.0,27.6,10.0,No
2019,22,08,08,Mostly Cloudy,64.0,0.0,64.0,87.0,9.0,8.0,No
2019,13,11,15,Cloudy,59.0,0.0,59.0,72.0,16.0,9.0,No
2017,17,04,20,Overcast,,,57.0,77.0,6.9,10.0,No
2020,23,01,18,Cloudy,56.0,0.0,56.0,75.0,3.0,10.0,No
2019,03,12,09,Mostly Cloudy,56.0,0.0,56.0,84.0,8.0,9.0,No
2019,22,07,17,Partly Cloudy,72.0,0.0,72.0,55.0,14.0,10.0,No
2017,08,08,17,Scattered Clouds,,,66.0,75.0,17.3,10.0,No
2019,20,12,15,Mostly Cloudy,56.0,0.0,56.0,77.0,3.0,10.0,No
2020,01,03,23,Fair,58.0,0.0,58.0,22.0,18.0,10.0,No
2020,15,11,10,Fair,55.0,0.0,55.0,74.0,5.0,10.0,No
2019,20,12,15,Haze,56.0,0.0,56.0,77.0,6.0,6.0,No
2020,10,12,11,Mostly Cloudy,60.0,0.0,60.0,60.0,7.0,10.0,No
2016,09,12,01,Overcast,,,57.0,93.0,5.8,10.0,No
2018,17,05,08,Mostly Cloudy,,,57.9,72.0,13.8,10.0,No
2016,06,09,10,Clear,,,66.0,70.0,4.6,10.0,No
2018,25,01,02,Scattered Clouds,42.6,,45.0,93.0,4.6,10.0,No
2020,27,06,01,Mostly Cloudy,58.0,0.0,58.0,90.0,9.0,10.0,No
2019,30,06,09,Partly Cloudy,61.0,0.0,61.0,75.0,3.0,10.0,No
2017,12,01,03,Light Rain,,0.05,46.9,90.0,5.8,10.0,No
2019,20,03,08,Overcast,,0.02,54.0,83.0,9.2,8.0,No
2017,04,04,16,Overcast,,,66.9,57.0,16.1,10.0,No
2018,21,03,07,Overcast,,,55.9,97.0,12.7,10.0,No
2017,10,08,20,Overcast,,,60.1,93.0,16.1,10.0,No
2017,29,08,16,Partly Cloudy,,,64.9,68.0,19.6,10.0,No
2019,15,01,04,Mostly Cloudy,,,48.0,74.0,15.0,10.0,No
2018,19,02,15,Mostly Cloudy,,,50.0,50.0,4.6,10.0,No
2016,10,08,18,Partly Cloudy,,,62.1,78.0,16.1,10.0,No
2020,01,06,04,Cloudy,60.0,0.0,60.0,78.0,5.0,10.0,No
2018,29,08,09,Mostly Cloudy,,,66.0,65.0,5.8,10.0,No
2018,25,01,07,Scattered Clouds,,,46.9,80.0,4.6,10.0,No
2020,30,08,08,Smoke,61.0,0.0,61.0,78.0,0.0,6.0,No
2017,13,09,08,Overcast,,,64.9,87.0,13.8,10.0,No
2019,28,09,16,Fair / Windy,62.0,0.0,62.0,53.0,37.0,10.0,No
2019,12,10,19,Partly Cloudy,65.0,0.0,65.0,29.0,16.0,10.0,No
2019,21,12,04,Mostly Cloudy,48.0,0.0,48.0,89.0,3.0,7.0,No
2019,16,08,14,Fair,79.0,0.0,79.0,47.0,15.0,10.0,No
2020,20,03,11,Fair,60.0,0.0,60.0,55.0,8.0,10.0,No
2019,30,10,15,Fair,67.0,0.0,67.0,34.0,8.0,10.0,No
2019,12,03,10,Scattered Clouds,,,55.9,67.0,24.2,10.0,No
2017,24,03,15,Light Rain,,0.15,55.0,93.0,3.5,3.0,No
2020,30,12,14,Mostly Cloudy,56.0,0.0,56.0,64.0,15.0,10.0,No
2020,30,12,02,Partly Cloudy,42.0,0.0,44.0,73.0,5.0,10.0,No
2017,27,07,15,Clear,,,73.9,55.0,13.8,10.0,No
2020,18,12,08,Fair,40.0,0.0,40.0,79.0,3.0,10.0,No
2019,22,10,14,Fair,81.0,0.0,81.0,29.0,9.0,10.0,No
2020,17,02,15,Mostly Cloudy,67.0,0.0,67.0,34.0,15.0,10.0,No
2019,10,09,17,Fair / Windy,67.0,0.0,67.0,68.0,25.0,10.0,No
2018,30,01,06,Partly Cloudy,,,48.0,89.0,4.6,10.0,No
2018,09,06,14,Mostly Cloudy,,,68.0,50.0,23.0,10.0,No
2018,07,08,10,Mostly Cloudy,,,57.0,81.0,15.0,10.0,No
2019,07,09,16,Mostly Cloudy,70.0,0.0,70.0,63.0,18.0,10.0,No
2020,06,07,18,Fair,65.0,0.0,65.0,58.0,15.0,10.0,No
2020,29,09,06,Mostly Cloudy,58.0,0.0,58.0,87.0,10.0,10.0,No
2020,20,01,23,Mostly Cloudy,52.0,0.0,52.0,77.0,8.0,10.0,No
2019,04,11,04,Fair,46.0,0.0,46.0,89.0,0.0,10.0,No
2019,13,10,17,Fair,61.0,0.0,61.0,62.0,20.0,10.0,No
2017,31,03,15,Partly Cloudy,,,66.0,45.0,20.7,10.0,No
2017,14,08,17,Overcast,,,62.1,75.0,13.8,10.0,No
2020,27,02,13,Mostly Cloudy,69.0,0.0,69.0,42.0,0.0,10.0,No
2018,03,10,14,Mostly Cloudy,,,73.0,64.0,11.5,10.0,No
2019,15,09,00,Cloudy,63.0,0.0,63.0,78.0,14.0,10.0,No
2019,01,04,08,Light Rain,55.0,0.0,55.0,80.0,0.0,10.0,No
2020,01,06,19,Partly Cloudy,68.0,0.0,68.0,59.0,14.0,10.0,No
2020,22,02,20,Cloudy,55.0,0.0,55.0,72.0,12.0,10.0,No
2020,09,03,09,Partly Cloudy,53.0,0.0,53.0,69.0,6.0,10.0,No
2016,15,12,19,Light Rain,,0.01,60.1,86.0,18.4,5.0,No
2019,08,10,16,Mostly Cloudy,68.0,0.0,68.0,59.0,16.0,10.0,No
2020,22,03,21,Fair,55.0,0.0,55.0,77.0,8.0,10.0,No
2017,24,05,17,Mostly Cloudy,,,64.0,65.0,12.7,10.0,No
2018,26,05,08,Overcast,,,57.9,70.0,17.3,10.0,No
2019,24,09,16,Fair,89.0,0.0,89.0,17.0,20.0,10.0,No
2020,12,12,09,Cloudy,54.0,0.0,54.0,77.0,10.0,10.0,No
2016,14,11,13,Haze,,,62.1,84.0,5.8,4.0,No
2018,06,10,19,Partly Cloudy,,,66.0,65.0,3.5,10.0,No
2019,17,09,00,Fair,62.0,0.0,62.0,72.0,3.0,10.0,No
2019,26,09,18,Fair,73.0,0.0,73.0,59.0,18.0,10.0,No
2019,16,12,18,Mostly Cloudy,50.0,0.0,50.0,41.0,8.0,10.0,No
2020,09,11,06,Fair,44.0,0.0,44.0,51.0,3.0,10.0,No
2020,11,02,16,Partly Cloudy,67.0,0.0,67.0,39.0,6.0,10.0,No
2020,25,12,06,Mostly Cloudy,49.0,0.0,49.0,77.0,0.0,8.0,No
2018,25,05,15,Mostly Cloudy,,,64.0,63.0,16.1,10.0,No
2018,11,05,00,Partly Cloudy,,,53.1,89.0,13.8,9.0,No
2020,20,03,21,Mostly Cloudy,57.0,0.0,57.0,62.0,9.0,10.0,No
2019,22,05,12,Partly Cloudy,65.0,0.0,65.0,56.0,13.0,10.0,No
2017,01,09,23,Clear,,,84.0,22.0,,8.0,No
2019,10,10,17,Partly Cloudy,78.0,0.0,78.0,10.0,12.0,10.0,No
2020,11,11,16,Mostly Cloudy,55.0,0.0,55.0,72.0,10.0,10.0,No
2020,27,06,14,Fair,71.0,0.0,71.0,57.0,20.0,10.0,No
2018,20,06,04,Overcast,,,55.9,80.0,13.8,10.0,No
2018,07,02,12,Clear,,,64.0,48.0,5.8,10.0,No
2019,07,09,03,Cloudy,62.0,0.0,62.0,80.0,15.0,10.0,No
2018,18,07,14,Mostly Cloudy,,,70.0,61.0,20.7,10.0,No
2020,30,04,16,Partly Cloudy / Windy,60.0,0.0,60.0,64.0,28.0,10.0,No
2020,16,01,11,Rain,43.0,0.09,47.0,83.0,8.0,2.0,No
2019,03,12,06,Fair,53.0,0.0,53.0,86.0,8.0,10.0,No
2016,10,08,09,Partly Cloudy,,,62.1,70.0,12.7,10.0,No
2017,11,09,11,Mostly Cloudy,,,73.9,71.0,8.1,9.0,No
2018,25,01,09,Mostly Cloudy,,,54.0,75.0,5.8,10.0,No
2016,16,08,11,Partly Cloudy,,,64.9,68.0,12.7,10.0,No
2020,12,12,06,Cloudy,58.0,0.0,58.0,87.0,12.0,10.0,No
2019,12,04,18,Fair,66.0,0.0,66.0,56.0,14.0,10.0,No
2016,12,12,13,Overcast,,,55.9,69.0,8.1,10.0,No
2016,31,03,16,Scattered Clouds,,,61.0,64.0,24.2,10.0,No
2018,07,01,15,Overcast,,,51.1,92.0,5.8,6.0,No
2020,13,11,11,Mostly Cloudy,59.0,0.0,59.0,58.0,9.0,10.0,No
2017,25,05,13,Mostly Cloudy,,,64.9,65.0,19.6,10.0,No
2019,29,12,14,Light Rain,53.0,0.07,53.0,86.0,5.0,5.0,No
2020,23,12,22,Partly Cloudy,51.0,0.0,51.0,59.0,8.0,10.0,No
2018,14,08,06,Overcast,,,57.9,87.0,12.7,10.0,No
2020,02,07,11,Fair,66.0,0.0,66.0,63.0,12.0,10.0,No
2018,06,01,12,Scattered Clouds,,,55.0,80.0,4.6,10.0,No
2020,23,03,09,Mostly Cloudy,54.0,0.0,54.0,69.0,12.0,10.0,No
2018,09,02,07,Clear,,,46.9,100.0,,10.0,No
2019,09,10,13,Fair,69.0,0.0,69.0,39.0,14.0,10.0,No
2019,29,12,13,Light Rain,53.0,0.07,53.0,86.0,5.0,5.0,No
2017,28,06,07,Overcast,,,59.0,78.0,11.5,10.0,No
2019,14,12,14,Partly Cloudy / Windy,58.0,0.0,58.0,62.0,21.0,10.0,No
2018,08,05,09,Mostly Cloudy,,,57.0,74.0,11.5,10.0,No
2016,06,12,00,Mostly Cloudy,,,50.0,63.0,5.8,10.0,No
2017,28,04,13,Scattered Clouds,,,70.0,49.0,17.3,10.0,No
2020,31,12,02,Fair,53.0,0.0,53.0,77.0,12.0,8.0,No
2020,16,05,15,Mostly Cloudy,71.0,0.0,71.0,45.0,18.0,10.0,No
2020,20,03,11,Fair,59.0,0.0,59.0,58.0,6.0,10.0,No
2019,17,09,09,Fair,65.0,0.0,65.0,65.0,3.0,10.0,No
2019,18,11,15,Haze,68.0,0.0,68.0,56.0,6.0,6.0,No
2020,18,02,01,Mostly Cloudy,49.0,0.0,49.0,61.0,3.0,10.0,No
2020,22,02,19,Cloudy,55.0,0.0,55.0,72.0,12.0,10.0,No
2017,10,01,18,Rain,,0.04,59.0,93.0,26.5,3.0,No
2018,09,03,12,Overcast,,,55.0,80.0,8.1,10.0,No
2019,08,04,09,Haze,62.0,0.0,62.0,80.0,5.0,6.0,No
2018,18,03,13,Overcast,,,54.0,66.0,4.6,10.0,No
2018,03,11,15,Mostly Cloudy,,,71.1,53.0,5.8,10.0,No
2016,19,04,18,Mostly Cloudy,,,72.0,48.0,13.8,10.0,No
2019,11,12,17,Cloudy,56.0,0.0,56.0,93.0,5.0,4.0,No
2019,06,10,20,Mostly Cloudy,68.0,0.0,68.0,63.0,0.0,10.0,No
2017,12,07,11,Clear,,,68.0,59.0,12.7,10.0,No
2017,23,02,01,Partly Cloudy,,,46.9,59.0,13.8,10.0,No
2016,15,12,15,Heavy Rain,,0.46,59.0,93.0,15.0,1.8,No
2020,14,01,17,Partly Cloudy,54.0,0.0,54.0,62.0,14.0,10.0,No
2020,20,05,09,Cloudy,61.0,0.0,61.0,67.0,6.0,10.0,No
2020,24,02,15,Fair / Windy,61.0,0.0,61.0,50.0,21.0,10.0,No
2017,25,01,10,Mostly Cloudy,,,51.1,77.0,5.8,10.0,No
2019,10,10,14,Mostly Cloudy,73.0,0.0,73.0,41.0,6.0,10.0,No
2018,06,09,09,Overcast,,,57.9,81.0,5.8,10.0,No
2016,24,10,06,Mostly Cloudy,,,61.0,70.0,6.9,10.0,No
2016,17,08,17,Partly Cloudy,,,66.9,63.0,18.4,10.0,No
2017,06,04,13,Overcast,,0.0,62.1,32.0,21.9,10.0,No
2020,17,11,23,Cloudy,60.0,0.0,60.0,83.0,10.0,10.0,No
2018,03,12,08,Mostly Cloudy,,,48.9,69.0,10.4,10.0,No
2017,11,04,20,Mostly Cloudy,,,61.0,67.0,10.4,10.0,No
2020,05,03,13,Mostly Cloudy,60.0,0.0,60.0,69.0,8.0,8.0,No
2019,11,02,16,Mostly Cloudy,,,52.0,59.0,6.9,10.0,No
2018,02,03,12,Overcast,,,55.0,49.0,20.7,10.0,No
2016,29,06,03,Overcast,,,55.9,84.0,6.9,9.0,No
2020,07,11,01,Mostly Cloudy,51.0,0.0,51.0,71.0,6.0,10.0,No
2019,08,11,08,Fog,53.0,0.0,53.0,89.0,5.0,1.0,No
2019,13,12,12,Cloudy,55.0,0.0,55.0,89.0,10.0,8.0,No
2016,10,06,01,Partly Cloudy,,,59.0,75.0,,10.0,No
2020,10,06,18,Fair / Windy,66.0,0.0,66.0,65.0,28.0,10.0,No
2017,16,11,06,Heavy Rain,,0.24,55.0,93.0,10.4,5.0,No
2018,29,12,23,Scattered Clouds,41.3,,43.0,80.0,3.5,10.0,No
2019,02,10,08,Fair,58.0,0.0,58.0,62.0,6.0,10.0,No
