merchant_id,merchant_category_id,subsector_description,latitude,longitude
M_ID_0036718194,363,hotel,48.846,-99.421
M_ID_003744d4bd,422,consumer electronics,32.396,-96.311
M_ID_003836c8ad,278,restaurant/dining,36.487,-113.54
M_ID_00384b3c14,367,carpentry,30.81,-95.348
M_ID_003922e63d,80,restaurant/dining,44.913,-100.547
M_ID_0039d920e4,401,luxury goods,46.912,-119.125
M_ID_0039e94e29,222,beauty & personal care,38.531,-122.303
M_ID_003aa1e359,343,internet,28.208,-81.232
M_ID_003b770759,834,consumer electronics,39.601,-92.858
M_ID_003b8dff7c,560,gas,30.435,-102.082
M_ID_003bb7fab6,437,liquor,30.277,-91.324
M_ID_003c4123f3,779,consumer electronics,44.636,-87.179
M_ID_003d680268,87,consumer electronics,41.934,-92.333
M_ID_0040a319cb,457,luxury goods,42.688,-91.395
M_ID_0041928d5e,63,consumer electronics,41.975,-87.116
M_ID_0041b721d8,796,insurance,37.171,-112.457
M_ID_0041fa169a,457,luxury goods,30.998,-85.399
M_ID_004232f0ff,222,beauty & personal care,29.846,-91.033
M_ID_0043132ca5,557,retail apparel,32.063,-107.067
M_ID_0043ea3f0c,705,groceries,46.853,-87.659
M_ID_0044061f2e,511,gym,40.956,-123.794
M_ID_0047855719,195,gas,41.26,-110.968
M_ID_0048fab0c6,796,insurance,41.451,-123.328
M_ID_004995eae1,299,luxury goods,39.32,-102.562
M_ID_004e4ded0b,813,retail apparel,41.43,-109.891
M_ID_004fdb8bb8,215,beauty & personal care,48.48,-96.199
M_ID_00505bbb61,80,restaurant/dining,31.713,-91.247
M_ID_005080446f,248,internet,40.819,-74.309
M_ID_0050a37b42,840,health care services,32.284,-95.112
M_ID_00517bd092,19,real estate investments,40.331,-91.956
M_ID_005252c19c,278,restaurant/dining,34.838,-91.898
M_ID_0052679539,683,gas,41.137,-83.265
M_ID_0052927d95,126,consumer electronics,29.24,-82.833
M_ID_00549991da,276,consumer electronics,44.023,-91.826
M_ID_0055a982f3,560,gas,37.697,-98.844
M_ID_0057d39ec0,560,gas,38.078,-119.903
M_ID_00598fbc16,278,restaurant/dining,44.373,-110.457
M_ID_005cd67d2d,705,groceries,41.645,-123.244
M_ID_005d054515,560,gas,33.083,-105.105
M_ID_005dded429,705,groceries,39.794,-92.817
M_ID_0060aee5ac,80,restaurant/dining,48.274,-122.377
M_ID_0062ffd4e7,360,gas,31.394,-110.14
M_ID_0063c08316,330,tobacco,35.88,-104.81
M_ID_00649511bc,705,groceries,37.286,-116.475
M_ID_0064f6e2b8,171,gas,43.918,-73.558
M_ID_00670641b5,529,health care services,37.595,-91.874
M_ID_0067af77ba,278,restaurant/dining,32.829,-111.469
M_ID_0067e06a01,45,hotel,38.287,-105.45
M_ID_006aa8470d,560,gas,45.139,-92.526
M_ID_006d80d142,184,consumer electronics,47.666,-107.714
M_ID_006e59bb1e,417,consumer electronics,41.162,-85.791
M_ID_006ed55653,307,entertainment,38.612,-116.4
M_ID_006f337bed,506,advertising services,42.066,-74.982
M_ID_0070065c71,705,groceries,39.964,-100.095
M_ID_0070462447,432,consumer electronics,42.382,-91.284
M_ID_00722b29a5,307,entertainment,38.545,-82.718
M_ID_0072c16981,367,carpentry,34.638,-101.639
M_ID_0073b79a95,506,advertising services,44.567,-71.167
M_ID_0074dd7c6e,333,insurance,38.517,-111.757
M_ID_0075863218,278,restaurant/dining,39.196,-98.874
M_ID_0075ca76fe,683,gas,40.149,-78.493
M_ID_00779a4b5b,661,internet,32.886,-101.468
M_ID_0077bb3ebc,298,insurance,35.735,-119.314
M_ID_0078819559,367,carpentry,45.201,-99.869
M_ID_007987a353,419,biotechnology,43.269,-98.363
M_ID_007a621d03,307,entertainment,36.505,-77.026
M_ID_007b259447,117,news & journalism,48.951,-111.696
M_ID_007d1fdb33,367,carpentry,44.942,-118.362
M_ID_007d80d7e4,278,restaurant/dining,27.776,-82.744
M_ID_007d967f48,884,consumer electronics,39.882,-109.902
M_ID_007dfccfc4,755,internet,42.046,-87.179
M_ID_007e2a55a3,690,biotechnology,29.914,-96.958
M_ID_007e2cbe55,317,tobacco,35.174,-107.791
M_ID_0081c58abb,769,retail apparel,43.1,-106.846
M_ID_00820733aa,356,liquor,43.043,-70.769
M_ID_008247246e,661,internet,42.929,-71.251
M_ID_0084832a89,417,consumer electronics,33.669,-84.663
M_ID_0085ff6403,705,groceries,40.848,-119.647
M_ID_008764f881,171,gas,46.201,-84.92
M_ID_0087f15f22,779,consumer electronics,47.004,-119.678
M_ID_0088a40a77,179,internet,46.457,-117.75
M_ID_0088a6bc83,80,restaurant/dining,40.999,-80.517
M_ID_0088fa4e2a,87,consumer electronics,28.396,-96.52
M_ID_008920ed5a,343,internet,30.352,-102.628
M_ID_008c02ed06,422,consumer electronics,45.708,-99.883
M_ID_008d51d376,705,groceries,46.192,-121.116
M_ID_008eb6c4cd,278,restaurant/dining,32.504,-111.456
M_ID_008ecd8b06,195,gas,44.287,-96.034
M_ID_008f09b986,45,insurance,32.33,-87.742
M_ID_009074f3ff,560,gas,36.752,-78.409
M_ID_0091868137,87,consumer electronics,30.646,-82.487
M_ID_00920cca39,171,gas,39.588,-85.325
M_ID_00928373ad,783,entertainment,36.605,-95.246
M_ID_0092dbfac8,130,luxury goods,46.526,-103.599
M_ID_0093077e0b,278,semiconductors,41.147,-96.304
M_ID_0094d268d9,580,internet,35.351,-117.074
M_ID_0095723b33,443,beauty & personal care,32.971,-90.86
M_ID_00961419ca,457,luxury goods,43.133,-101.536
M_ID_0096d62566,683,gas,42.931,-86.721
M_ID_009769833d,307,entertainment,32.299,-99.634
M_ID_0097bb2d73,195,gas,40.949,-95.527
M_ID_0097cfabd2,422,consumer electronics,44.301,-101.469
M_ID_0099b6483f,506,advertising services,36.186,-84.533
M_ID_009ae274e9,454,magic cards,36.48,-90.49
M_ID_009f533a67,108,gas,42.953,-106.367
M_ID_00a01bd6d6,457,luxury goods,33.628,-115.57
M_ID_00a14be5e8,796,insurance,40.214,-104.073
M_ID_00a14f5e1a,126,consumer electronics,47.437,-92.638
M_ID_00a164e0cd,45,hotel,47.425,-110.733
M_ID_00a21d983c,422,consumer electronics,40.053,-107.746
M_ID_00a226aa22,417,consumer electronics,42.763,-108.303
M_ID_00a26c6d23,769,consumer electronics,42.075,-75.354
M_ID_00a2a5855b,80,restaurant/dining,44.418,-100.554
M_ID_00a368ac33,414,retail apparel,27.629,-81.374
M_ID_00a3c08874,889,consumer electronics,40.684,-88.915
M_ID_00a3e52ec6,531,consumer electronics,36.342,-100.739
M_ID_00a63fb502,813,retail apparel,33.591,-96.214
M_ID_00a6ca8a8a,879,gym,37.863,-102.341
M_ID_00a80ba8dd,360,gas,41.243,-87.939
M_ID_00a8ce2bef,531,consumer electronics,41.071,-81.24
M_ID_00a9c02df5,795,retail apparel,36.567,-101.269
M_ID_00abb15f91,593,retail apparel,42.135,-98.292
M_ID_00ace1ebae,683,gas,28.773,-97.945
M_ID_00ad776ef5,607,retail apparel,36.367,-77.74
M_ID_00adcbfe87,340,real estate services,38.732,-97.813
M_ID_00b0bdd190,307,entertainment,35.356,-87.012
M_ID_00b4afd50c,531,consumer electronics,43.498,-77.958
M_ID_00b4b808e1,560,restaurant/dining,46.641,-91.938
M_ID_00b4f8c173,667,beauty & personal care,40.646,-75.394
M_ID_00b558197a,414,retail apparel,39.846,-117.123
M_ID_00b5953bb2,705,groceries,38.561,-117.31
M_ID_00b63cac58,299,luxury goods,37.314,-119.505
M_ID_00b6b979ef,367,carpentry,41.794,-80.23
M_ID_00b6ddeac6,179,internet,42.171,-94.738
M_ID_00b6f61b2e,119,insurance,30.541,-82.851
M_ID_00b7788c91,278,restaurant/dining,38.929,-116.256
M_ID_00b8af5a6a,357,consumer electronics,36.577,-78.119
M_ID_00b93b3c55,367,carpentry,41.523,-103.012
M_ID_00bbbfcba8,755,internet,37.208,-120.421
M_ID_00bcdbdc15,560,gas,33.106,-84.427
M_ID_00bd5e7034,342,health care services,45.576,-123.405
M_ID_00bd932b8d,68,consumer electronics,47.289,-101.757
M_ID_00be66b806,580,internet,30.391,-94.274
M_ID_00bf62b5c8,343,internet,40.233,-121.387
M_ID_00c0034225,683,gas,32.544,-91.671
M_ID_00c122bb06,705,groceries,43.673,-94.69
M_ID_00c2f2ad26,171,gas,42.561,-72.72
M_ID_00c43b3e0b,737,hotel,47.929,-101.774
M_ID_00c43dc392,416,internet,35.45,-92.253
M_ID_00c4ba5a93,171,gas,37.31,-117.257
M_ID_00c4ba6eb7,683,restaurant/dining,36.602,-77.128
M_ID_00c57eaac8,416,internet,39.219,-81.488
M_ID_00c75b582d,796,insurance,47.469,-95.349
M_ID_00c7d96c88,661,internet,37.263,-84.327
M_ID_00c8132c7e,171,gas,40.013,-94.852
M_ID_00c882012c,299,luxury goods,35.942,-99.29
M_ID_00c9b46259,307,entertainment,46.731,-109.427
M_ID_00cbd8730b,307,entertainment,35.268,-116.397
M_ID_00cd23d178,278,restaurant/dining,46.144,-108.218
M_ID_00ce7087bc,695,gas,36.623,-90.017
M_ID_00cee19012,454,magic cards,41.266,-80.434
M_ID_00d02accc3,472,financial services,34.262,-102.177
M_ID_00d236a951,273,health care services,40.543,-95.718
M_ID_00d36f56e7,206,retail apparel,41.567,-115.423
M_ID_00d4322434,222,beauty & personal care,47.949,-90.752
M_ID_00d4a31f69,705,groceries,36.721,-120.293
M_ID_00d4ffc835,80,restaurant/dining,30.014,-92.873
M_ID_00d5b7cbe2,87,consumer electronics,35.888,-97.375
M_ID_00d684ca87,690,biotechnology,37.235,-95.136
M_ID_00d8d8d792,108,gas,47.251,-111.101
M_ID_00d8e1e694,360,gas,44.598,-96.764
M_ID_00d92520ff,68,consumer electronics,38.54,-75.215
M_ID_00da1add15,87,consumer electronics,34.552,-100.862
M_ID_00da5cac00,457,luxury goods,40.96,-109.379
M_ID_00da95cd76,108,gas,44.064,-111.64
M_ID_00dbf59b65,650,retail apparel,46.044,-95.218
M_ID_00dc67f23c,755,internet,35.432,-98.714
M_ID_00dcb209c0,317,tobacco,46.614,-90.182
M_ID_00ddd35afb,705,groceries,42.962,-76.173
M_ID_00e0c7e6b1,416,internet,39.218,-98.306
M_ID_00e131b73d,360,gas,41.224,-122.07
M_ID_00e133021f,210,automobiles,46.234,-117.395
M_ID_00e2b70337,195,gas,26.579,-82.028
M_ID_00e2cfbe21,705,groceries,32.812,-90.484
M_ID_00e460eda2,307,entertainment,41.824,-111.163
M_ID_00e46f1db1,278,restaurant/dining,37.808,-79.877
M_ID_00e4ef587d,796,insurance,34.538,-104.882
M_ID_00e4f5478b,80,restaurant/dining,29.754,-82.431
M_ID_00e6baf52d,307,entertainment,38.723,-105.722
M_ID_00e936138b,195,gas,35.054,-111.768
M_ID_00ea863462,68,consumer electronics,44.22,-105.535
M_ID_00eb199326,705,groceries,38.378,-93.739
M_ID_00eb4b1ca2,705,groceries,42.8,-73.094
M_ID_00ec3182ae,557,retail apparel,43.742,-120.801
M_ID_00eea04b25,319,consumer electronics,39.38,-85.96
M_ID_00f0f46a6b,427,consumer electronics,45.149,-97.583
M_ID_00f141991f,695,gas,34.551,-86.196
M_ID_00f153a14f,307,entertainment,29.314,-81.86
M_ID_00f25fb769,179,internet,39.934,-122.739
M_ID_00f2b1968a,198,insurance,34.07,-95.55
M_ID_00f31042a1,278,restaurant/dining,32.037,-85.089
M_ID_00f37e5543,171,gas,32.831,-90.979
M_ID_00f4ad6410,40,beauty & personal care,38.93,-117.765
M_ID_00f50b6acf,755,internet,42.804,-83.772
M_ID_00f803a717,840,health care services,32.299,-111.459
M_ID_00f85d9635,367,carpentry,44.395,-113.689
M_ID_00f9447528,507,phone bill,41.138,-82.023
M_ID_00f9ca6b02,367,carpentry,30.668,-86.146
M_ID_00fad79ed7,278,restaurant/dining,44.799,-87.831
M_ID_00fb68e3e1,179,internet,46.603,-104.036
M_ID_00fbf73ec3,130,luxury goods,36.329,-99.632
M_ID_00fc6d7d3d,705,groceries,47.825,-118.45
M_ID_00fcb55ed2,884,consumer electronics,32.92,-114.814
M_ID_00fcbdad4f,411,liquor,28.344,-81.654
M_ID_00ff7ade75,755,internet,35.619,-104.442
M_ID_010005a921,80,restaurant/dining,43.802,-109.453
M_ID_01002c1f09,580,internet,46.38,-95.435
M_ID_0101fd23c5,419,biotechnology,45.48,-110.605
M_ID_0104ad8596,506,advertising services,33.523,-116.325
M_ID_0107ab0421,842,restaurant/dining,32.28,-82.521
M_ID_010861e699,80,restaurant/dining,33.522,-83.618
M_ID_0109a2659f,457,luxury goods,42.516,-96.738
M_ID_010c1d03b6,34,pharmaceuticals,45.661,-109.715
M_ID_010cc673c2,80,restaurant/dining,44.727,-73.886
M_ID_010cf2e0d5,195,gas,38.271,-77.125
M_ID_010d8462c9,87,consumer electronics,42.367,-119.753
M_ID_010d9604da,367,carpentry,46.22,-122.865
M_ID_010f6fda7d,108,gas,40.034,-108.887
M_ID_010ff71360,683,gas,37.967,-118.868
M_ID_01104e7c5e,360,gas,37.227,-101.674
M_ID_01119dbc4f,108,gas,37.744,-118.419
M_ID_01123db89c,108,gas,44.452,-98.438
M_ID_0113485fb2,171,gas,41.967,-106.844
M_ID_0116936aed,705,groceries,40.951,-119.437
M_ID_0117ed506b,195,gas,47.245,-113.279
M_ID_01189fc19b,119,insurance,36.901,-112.277
M_ID_0118cd959c,299,luxury goods,39.572,-93.105
M_ID_011afc70cf,367,carpentry,40.742,-113.876
M_ID_011d13a280,367,carpentry,40.447,-84.449
M_ID_011e3a4537,307,entertainment,42.133,-79.526
M_ID_011f415751,373,hotel,48.224,-97.144
M_ID_011fd615c8,401,luxury goods,42.238,-106.548
M_ID_01205cbf09,248,internet,35.079,-85.116
M_ID_0120993994,367,carpentry,44.79,-103.261
M_ID_01219ff439,695,gas,44.696,-73.45
M_ID_0122559cfc,307,entertainment,43.895,-74.042
M_ID_0122bc7a6a,248,internet,44.314,-115.223
M_ID_012303af89,884,consumer electronics,36.95,-87.505
M_ID_0123a2a096,796,insurance,42.425,-119.546
M_ID_01249af850,108,gas,36.912,-76.172
M_ID_012537ae0f,130,luxury goods,31.059,-83.362
M_ID_0126658872,560,gas,38.507,-117.588
M_ID_012819ce75,705,groceries,38.957,-110.514
M_ID_01284d0ed7,260,semiconductors,30.093,-91.868
M_ID_0128774074,690,biotechnology,41.705,-109.939
M_ID_0128e1fa39,690,biotechnology,47.459,-88.867
M_ID_012923522a,87,consumer electronics,40.258,-105.938
M_ID_012a6f026e,357,consumer electronics,41.561,-98.32
M_ID_012a76f882,645,financial services,48.134,-105.77
M_ID_012abad529,755,internet,35.778,-81.095
M_ID_012c04ea3a,607,retail apparel,44.49,-83.598
M_ID_012d399174,68,consumer electronics,39.565,-76.057
M_ID_012ef143dc,422,consumer electronics,29.655,-101.199
M_ID_01307f60d2,422,consumer electronics,34.666,-109.74
M_ID_01317b5c4c,419,biotechnology,39.595,-117.523
M_ID_013219372c,108,office supplies,32.452,-102.691
M_ID_0132a2687c,457,luxury goods,46.491,-101.134
M_ID_0132d91831,108,gas,38.515,-79.613
M_ID_0134f82a04,531,consumer electronics,39.45,-103.689
M_ID_01363f813e,195,gas,33.015,-84.889
M_ID_01368fe086,560,gas,42.971,-109.197
M_ID_0136a21657,278,restaurant/dining,44.76,-73.96
M_ID_0136dd9002,580,internet,39.341,-117.847
M_ID_0136f79f8d,343,internet,40.957,-77.576
M_ID_0138a738aa,307,entertainment,33.204,-97.16
M_ID_0139f8fa47,560,gas,41.559,-82.951
M_ID_013a991f15,796,insurance,45.269,-110.195
M_ID_013af2433c,667,beauty & personal care,40.182,-83.114
M_ID_013c0f7f2f,60,utilities,38.476,-81.85
M_ID_013c2e9221,299,luxury goods,29.437,-100.488
M_ID_013cdd2cfb,81,retail apparel,48.531,-117.268
M_ID_013eb91138,195,gas,47.816,-109.919
M_ID_013f1c0099,497,consumer electronics,40.402,-101.09
M_ID_0140464959,531,consumer electronics,33.48,-108.981
M_ID_01411b76d7,683,gas,31.401,-96.969
M_ID_01413e29b0,87,consumer electronics,40.422,-99.227
M_ID_01424cb3cc,278,restaurant/dining,30.83,-101.056
M_ID_0143161aa4,198,insurance,40.142,-77.295
M_ID_0144195e60,119,insurance,36.077,-87.444
M_ID_0144fab651,367,carpentry,32.931,-94.056
M_ID_0146c5b0fc,179,internet,36.799,-91.78
M_ID_0146ded61d,126,consumer electronics,44.372,-109.663
M_ID_014823cd45,705,groceries,44.475,-115.673
M_ID_0149c8ec25,367,carpentry,38.438,-103.401
M_ID_014a58ba62,69,health care services,28.666,-98.73
M_ID_014a8b3bae,307,entertainment,45.873,-68.76
M_ID_014aa38657,289,consumer electronics,38.556,-102.374
M_ID_014ad00c98,307,entertainment,48.962,-99.783
M_ID_014cdcf96e,307,entertainment,37.985,-104.945
M_ID_014cea5e6f,179,internet,34.741,-113.754
M_ID_014d1ae0bd,705,groceries,46.71,-91.849
M_ID_014e675009,319,consumer electronics,35.356,-100.131
M_ID_014f53d2d1,307,entertainment,47.848,-98.816
M_ID_014f739d51,419,biotechnology,34.53,-86.364
M_ID_0150a61c28,332,news & journalism,48.321,-95.207
M_ID_0153a7d3b0,80,restaurant/dining,32.564,-96.137
M_ID_015483d93c,52,semiconductors,41.976,-116.277
M_ID_0155471291,68,consumer electronics,28.51,-99.842
M_ID_0156e34767,661,internet,36.94,-81.692
M_ID_0158c48518,299,luxury goods,31.664,-91.179
M_ID_0159309e69,307,entertainment,45.253,-85.268
M_ID_015bf443fe,528,tobacco,44.384,-107.495
M_ID_015c9700a7,9,beauty & personal care,39.843,-117.906
M_ID_015cd2ac94,68,consumer electronics,37.534,-90.155
M_ID_015e126202,661,internet,37.499,-106.751
M_ID_015eefd824,580,internet,48.677,-94.432
M_ID_015ef38ea1,457,luxury goods,46.328,-86.105
M_ID_015fcaa5b2,130,luxury goods,31.653,-99.861
M_ID_015fed07fe,842,restaurant/dining,41.741,-101.148
M_ID_015ff18c7c,278,restaurant/dining,39.473,-84.903
M_ID_0161be06f5,651,news & journalism,31.768,-94.229
M_ID_016354dd51,90,office supplies,30.492,-86.883
M_ID_01639d1ae9,130,luxury goods,30.389,-95.495
M_ID_016461b505,299,luxury goods,37.909,-95.524
M_ID_016494f7a2,80,restaurant/dining,48.288,-98.647
M_ID_0164f8a9d9,705,groceries,42.336,-102.844
M_ID_016537cd5f,299,luxury goods,39.404,-111.516
M_ID_0165d6e546,80,restaurant/dining,36.237,-81.881
M_ID_0166b9c662,779,consumer electronics,36.749,-109.555
M_ID_016768b028,130,luxury goods,43.631,-76.55
M_ID_01690b7a6d,298,insurance,34.523,-99.132
M_ID_01694f2e80,783,entertainment,48.904,-95.052
M_ID_0169605880,278,restaurant/dining,30.565,-89.3
M_ID_01696e7c95,705,groceries,48.293,-99.423
M_ID_016a5cbedb,401,luxury goods,37.593,-109.314
M_ID_016ab7343b,457,luxury goods,44.232,-121.656
M_ID_016bbf038c,437,liquor,27.822,-80.722
M_ID_016e02f0cf,195,gas,30.305,-92.803
M_ID_016e16c5e9,278,restaurant/dining,39.358,-109.011
M_ID_016e9ad854,705,groceries,44.786,-96.441
M_ID_016ee3c882,198,insurance,39.013,-122.73
M_ID_016f07b690,278,restaurant/dining,38.531,-104.659
M_ID_01701c2f3a,195,gas,48.21,-92.639
M_ID_01718e0899,278,restaurant/dining,40.741,-91.488
M_ID_0171901700,130,advertising services,40.259,-108.473
M_ID_0171e7c8ba,222,beauty & personal care,39.539,-122.424
M_ID_0172f6bfc3,126,consumer electronics,32.419,-95.924
M_ID_01732fd9b6,278,restaurant/dining,36.819,-109.59
M_ID_0173a47d27,278,restaurant/dining,41.378,-72.506
M_ID_01763a4605,422,consumer electronics,38.49,-76.586
M_ID_017657a866,367,carpentry,46.735,-116.708
M_ID_017662a93c,130,luxury goods,36.063,-83.724
M_ID_01780cf816,695,gas,34.215,-94.702
M_ID_0178823f08,422,consumer electronics,33.77,-105.59
M_ID_017919bf90,705,groceries,44.303,-84.711
M_ID_017aa2f920,307,entertainment,46.588,-114.568
M_ID_017bd98caa,307,entertainment,45.612,-70.086
M_ID_017bfa472f,795,retail apparel,44.859,-69.052
M_ID_017df1c0a4,373,insurance,42.846,-113.765
M_ID_017ebd3fce,248,internet,36.137,-90.637
M_ID_017eea46f1,560,gas,31.213,-99.743
M_ID_0180a94418,276,consumer electronics,38.739,-75.189
M_ID_0180b04d42,834,consumer electronics,41.847,-95.029
M_ID_0180d3119d,783,entertainment,29.742,-95.66
M_ID_01812379f3,367,carpentry,36.354,-120.332
M_ID_0181428293,457,luxury goods,42.643,-106.088
M_ID_01815cddc9,457,luxury goods,34.981,-88.996
M_ID_018217c55a,661,internet,42.915,-93.672
M_ID_018333feda,434,flights,45.846,-93.659
M_ID_0183ec2ac9,130,luxury goods,41.241,-108.098
M_ID_0184779b95,661,internet,30.92,-104.008
M_ID_01852e8b87,518,consumer electronics,39.404,-115.067
M_ID_01869b2392,171,gas,29.835,-92.714
M_ID_01885fc0af,690,biotechnology,37.777,-79.661
M_ID_018931ccfa,171,gas,44.609,-89.25
M_ID_018a0e8e18,560,gas,42.539,-86.846
M_ID_018a457020,560,gas,44.571,-113.863
M_ID_018b63352e,560,gas,37.245,-89.981
M_ID_018fc3b06b,834,consumer electronics,41.503,-84.665
M_ID_01906a5532,751,pharmaceuticals,48.345,-95.47
M_ID_019297fe08,518,consumer electronics,33.02,-102.63
M_ID_019299578d,779,consumer electronics,39.086,-103.942
M_ID_0192c5aa22,884,consumer electronics,42.009,-98.628
M_ID_0193be4064,87,consumer electronics,47.631,-96.331
M_ID_01948003f2,278,restaurant/dining,33.839,-107.391
M_ID_01955ae3d5,884,consumer electronics,46.866,-110.548
M_ID_01958e011a,179,internet,39.912,-118.405
M_ID_019677ed8c,119,insurance,38.662,-96.903
M_ID_0196a5253d,87,consumer electronics,40.927,-118.785
M_ID_0197028aa8,179,internet,33.387,-98.131
M_ID_01984ffb72,557,retail apparel,35.718,-81.654
M_ID_019a522b7f,108,gas,44.866,-115.706
M_ID_019b6911a8,695,gas,30.426,-84.544
M_ID_019b7016cb,299,luxury goods,30.3,-104.04
M_ID_019bcab652,637,restaurant/dining,41.069,-119.451
M_ID_019bf8a579,80,restaurant/dining,44.761,-120.176
M_ID_019c66358a,278,restaurant/dining,45.016,-108.078
M_ID_019d9bd2b7,360,gas,39.337,-109.766
M_ID_019e704ee3,278,restaurant/dining,39.823,-92.167
M_ID_019f29c4c3,130,luxury goods,46.669,-98.05
M_ID_01a001e71b,206,gas,41.061,-89.57
M_ID_01a2230f04,278,restaurant/dining,46.521,-85.871
M_ID_01a31f2f27,298,insurance,36.34,-82.477
M_ID_01a39f062d,299,luxury goods,44.443,-109.427
M_ID_01a464fa4f,796,insurance,39.142,-79.088
M_ID_01aa1a5920,309,beauty & personal care,40.513,-123.686
M_ID_01aa402e43,416,internet,28.715,-97.205
M_ID_01ab1ad1b6,457,luxury goods,44.592,-117.711
M_ID_01acffb4a8,511,consumer electronics,28.826,-96.039
M_ID_01ae0c95ea,607,retail apparel,31.562,-86.587
M_ID_01afb989f2,705,groceries,45.874,-89.693
M_ID_01afbbde10,796,insurance,46.348,-68.784
M_ID_01b368328a,307,entertainment,36.556,-111.006
M_ID_01b51981bf,119,insurance,31.835,-88.708
M_ID_01b61bc351,560,gas,33.914,-107.933
M_ID_01b7eb4de5,80,restaurant/dining,38.539,-109.169
M_ID_01b8aa81bc,278,restaurant/dining,33.314,-84.21
M_ID_01bbff5bd6,661,internet,39.487,-107.984
M_ID_01bc0568e2,171,gas,45.399,-103.082
M_ID_01bc7c731c,414,groceries,40.916,-89.809
M_ID_01bcd1f858,705,groceries,34.532,-95.735
M_ID_01bcd93c6f,119,insurance,43.776,-97.413
M_ID_01bd81a96b,560,gas,29.944,-96.981
M_ID_01be34da5b,580,internet,29.393,-103.861
M_ID_01beac1d18,437,liquor,42.568,-78.599
M_ID_01beef909c,357,consumer electronics,45.413,-93.767
M_ID_01bf0274b6,683,gas,40.05,-96.463
M_ID_01bf299d94,705,groceries,27.215,-98.623
M_ID_01bfe9aff9,68,consumer electronics,35.356,-111.96
M_ID_01c33e1188,248,internet,42.203,-79.388
M_ID_01c344430e,130,luxury goods,36.365,-103.86
M_ID_01c4b60121,511,gym,42.022,-123.409
M_ID_01c4d44c7e,434,flights,35.359,-120.112
M_ID_01c5b67132,60,utilities,33.336,-114.331
M_ID_01c6daa114,343,internet,31.383,-102.851
M_ID_01c8266857,130,luxury goods,38.815,-120.472
M_ID_01c94d789c,607,retail apparel,34.565,-111.902
M_ID_01c95210b9,557,carpentry,36.929,-100.507
