internal_card_mapping,first_active_month,reward_program,latitude,longitude,fico_score,age
C_ID_0044cb53fc,2017-04,cash_back,37.306,-86.447,439,22
C_ID_0046db9f8a,2016-11,dining_entertainment,46.841,-120.774,323,49
C_ID_0048665750,2017-10,cash_back,35.11,-93.027,687,58
C_ID_004885878b,2017-12,cash_back,41.766,-84.799,475,62
C_ID_004b77bfe8,2017-11,cash_back,32.059,-106.214,410,47
C_ID_004e76abd1,2016-12,travel,35.517,-121.049,561,22
C_ID_005030a950,2017-11,dining_entertainment,47.132,-90.289,371,33
C_ID_0054f59f68,2017-02,cash_back,41.182,-88.508,397,84
C_ID_0059083858,2016-05,cash_back,46.909,-96.146,758,34
C_ID_005b2d6a18,2017-07,cash_back,42.006,-114.653,832,38
C_ID_005b760e6e,2016-11,dining_entertainment,40.147,-76.886,749,20
C_ID_005da80fb2,2016-12,cash_back,32.956,-107.515,785,38
C_ID_005eb80ceb,2017-07,cash_back,29.802,-91.371,697,35
C_ID_0062ce3771,2016-11,cash_back,31.683,-96.399,832,34
C_ID_0064573627,2017-03,cash_back,42.78,-110.322,520,35
C_ID_0065c0873a,2016-01,cash_back,37.32,-96.033,807,58
C_ID_0067036f6a,2016-09,dining_entertainment,40.359,-91.508,824,41
C_ID_006785f610,2017-06,travel,37.454,-95.258,647,20
C_ID_0069c1a32c,2017-01,dining_entertainment,34.62,-95.371,719,82
C_ID_006afd86d6,2016-07,cash_back,35.086,-83.713,413,50
C_ID_006b9a7fed,2017-01,cash_back,35.463,-95.506,681,22
C_ID_006c44923a,2017-10,dining_entertainment,44.155,-109.746,368,34
C_ID_0071913ad1,2017-01,cash_back,35.588,-88.893,619,24
C_ID_007196111f,2017-05,cash_back,45.648,-111.335,756,33
C_ID_0071fe3e30,2017-10,cash_back,35.853,-111.672,312,21
C_ID_00723f2a4f,2017-12,cash_back,38.302,-81.513,355,45
C_ID_00746e43ac,2016-09,cash_back,38.816,-114.507,407,55
C_ID_0078ec43b9,2017-08,travel,38.315,-106.354,693,30
C_ID_007ca51155,2017-06,travel,30.992,-87.881,391,30
C_ID_007ccf2073,2017-12,dining_entertainment,37.547,-100.285,408,59
C_ID_007cda8466,2017-02,dining_entertainment,38.804,-94.415,472,82
C_ID_007f1d93f3,2016-11,dining_entertainment,37.186,-84.173,526,19
C_ID_008082a601,2017-12,travel,48.805,-101.992,655,53
C_ID_0080dd37e0,2014-06,cash_back,34.286,-93.765,505,62
C_ID_008431f3f4,2017-03,dining_entertainment,36.797,-78.771,326,87
C_ID_00844a8c1b,2017-05,cash_back,41.993,-83.576,848,21
C_ID_00864490c5,2016-05,cash_back,41.488,-95.522,373,76
C_ID_0088640ed5,2016-05,cash_back,36.429,-110.98,731,84
C_ID_008bdbf77a,2014-12,travel,40.305,-95.498,689,94
C_ID_008cd78996,2016-06,cash_back,31.912,-106.181,793,83
C_ID_008d30510f,2017-01,cash_back,34.759,-104.071,500,26
C_ID_008f67efe2,2017-02,dining_entertainment,48.152,-104.721,495,37
C_ID_008fd02f4e,2017-08,cash_back,32.803,-81.883,581,31
C_ID_0090b63a7a,2016-07,cash_back,30.312,-93.463,633,44
C_ID_009115d07e,2017-01,cash_back,34.818,-118.972,621,77
C_ID_009201823e,2017-11,cash_back,33.407,-114.32,354,19
C_ID_00921a81b5,2015-06,cash_back,46.422,-119.026,546,80
C_ID_0092c92067,2016-04,cash_back,48.837,-100.912,589,18
C_ID_00934ad77d,2017-05,cash_back,41.674,-79.513,533,35
C_ID_0094314bdf,2017-11,cash_back,41.936,-108.315,377,66
C_ID_009590f742,2017-08,dining_entertainment,32.525,-95.187,838,41
C_ID_00963f1af2,2016-12,cash_back,39.206,-88.819,670,75
C_ID_009973c3f7,2017-09,cash_back,41.072,-99.332,401,31
C_ID_009a68cacd,2017-12,cash_back,38.653,-86.567,308,45
C_ID_009a8908bb,2017-10,travel,47.996,-119.455,496,28
C_ID_009c8654d2,2017-07,cash_back,45.459,-109.568,712,97
C_ID_009db81277,2015-02,travel,48.636,-98.819,695,90
C_ID_009f2fe840,2016-04,cash_back,30.503,-104.352,438,32
C_ID_00a42df384,2017-05,cash_back,40.187,-81.509,761,74
C_ID_00a47320cc,2016-07,cash_back,34.346,-90.714,836,31
C_ID_00a80ad5c0,2017-02,dining_entertainment,37.593,-94.852,577,35
C_ID_00ad8b07b8,2016-03,cash_back,47.742,-94.2,662,49
C_ID_00af3335a8,2017-08,dining_entertainment,44.771,-97.88,622,26
C_ID_00afd0d796,2016-07,dining_entertainment,30.016,-89.852,521,21
C_ID_00b14e2736,2016-11,travel,31.781,-93.887,653,42
C_ID_00b5b9a8c5,2017-01,cash_back,42.038,-73.799,412,63
C_ID_00b93fe466,2017-07,cash_back,40.91,-88.116,416,24
C_ID_00ba5c9c9d,2016-12,dining_entertainment,43.445,-70.767,838,59
C_ID_00bc160a80,2017-10,travel,35.695,-90.984,362,22
C_ID_00bc1f7018,2014-03,dining_entertainment,42.69,-120.89,628,66
C_ID_00bc2cdcdc,2016-09,dining_entertainment,34.294,-83.188,391,26
C_ID_00c0598967,2017-10,cash_back,41.038,-103.608,395,26
C_ID_00c06d81e1,2014-05,dining_entertainment,33.549,-107.742,514,48
C_ID_00c44950b2,2017-04,cash_back,35.913,-82.735,463,23
C_ID_00c74ce3e5,2013-11,dining_entertainment,35.929,-89.664,595,29
C_ID_00c849f417,2016-12,dining_entertainment,47.935,-113.036,439,43
C_ID_00c87518f7,2017-11,cash_back,40.199,-105.011,840,45
C_ID_00c9c0b348,2017-07,cash_back,41.674,-106.194,432,88
C_ID_00d189cc0d,2017-10,cash_back,32.894,-89.861,843,42
C_ID_00d1936678,2017-06,travel,38.839,-83.539,741,66
C_ID_00d1c36533,2017-07,cash_back,32.285,-83.8,478,71
C_ID_00d1ce017e,2017-02,cash_back,39.231,-92.674,449,82
C_ID_00d5520563,2016-11,dining_entertainment,36.873,-118.477,310,47
C_ID_00d55ba1f9,2017-07,cash_back,46.915,-120.65,743,57
C_ID_00d74df892,2017-04,cash_back,40.279,-103.337,342,24
C_ID_00d7abf92d,2014-11,travel,36.264,-119.702,551,56
C_ID_00d96e1871,2014-05,cash_back,33.893,-102.342,691,83
C_ID_00dc526eb1,2017-06,dining_entertainment,38.51,-104.852,516,98
C_ID_00dd8167a4,2017-02,cash_back,43.075,-90.593,368,24
C_ID_00de28acb2,2017-10,cash_back,39.741,-82.545,578,62
C_ID_00e09bac8b,2017-10,cash_back,31.534,-85.959,526,51
C_ID_00e1543323,2017-08,dining_entertainment,46.346,-118.953,655,87
C_ID_00e17588a4,2017-08,travel,38.967,-116.277,450,51
C_ID_00e23825a6,2017-10,cash_back,39.392,-86.829,429,25
C_ID_00e39e96d5,2016-01,cash_back,33.394,-102.795,512,30
C_ID_00e3ec9d26,2016-05,dining_entertainment,41.123,-89.219,396,48
C_ID_00e5b9a814,2017-12,cash_back,46.849,-123.65,826,42
C_ID_00eac14f6c,2014-09,dining_entertainment,33.155,-88.303,820,25
C_ID_00ee71beb8,2016-12,cash_back,33.893,-95.383,805,41
C_ID_00f1230922,2017-05,cash_back,41.513,-96.184,629,67
C_ID_00f214963b,2017-06,cash_back,33.653,-96.929,746,29
C_ID_00f50add7b,2016-04,dining_entertainment,40.594,-74.161,678,37
C_ID_00f7454fde,2017-09,travel,46.106,-108.901,447,47
C_ID_00f8bd9281,2017-10,cash_back,48.82,-116.16,417,36
C_ID_00fb7cbe63,2017-10,dining_entertainment,33.336,-96.945,439,29
C_ID_00feca4d38,2017-11,travel,38.956,-110.28,759,38
C_ID_0105548204,2017-06,cash_back,44.021,-83.472,310,21
C_ID_010bceeffa,2017-10,dining_entertainment,45.144,-111.31,848,60
C_ID_010d4b4214,2016-08,cash_back,45.851,-97.64,437,39
C_ID_010d758e31,2017-08,travel,31.278,-98.39,793,39
C_ID_010da3d3f6,2017-03,travel,34.972,-84.67,715,86
C_ID_0110592e39,2017-09,travel,31.905,-100.621,514,27
C_ID_01112aeabf,2017-08,dining_entertainment,45.307,-94.577,795,43
C_ID_0112d3c22d,2015-09,cash_back,39.99,-105.077,455,91
C_ID_0113eae634,2017-12,travel,41.144,-123.069,719,63
C_ID_01157d87d4,2015-03,cash_back,39.584,-83.064,665,65
C_ID_011715ccb3,2016-12,travel,40.772,-107.55,660,24
C_ID_0117ad422f,2017-11,cash_back,48.382,-119.371,753,26
C_ID_01188311a1,2017-03,cash_back,43.0,-103.194,846,54
C_ID_0118c2bcaf,2016-05,cash_back,46.465,-87.88,550,32
C_ID_0118f00b8f,2017-09,travel,40.049,-117.91,401,51
C_ID_01197a6a25,2017-12,dining_entertainment,34.211,-94.319,791,38
C_ID_011b4c6384,2017-03,dining_entertainment,45.615,-107.555,475,29
C_ID_011b7d9d9e,2016-10,cash_back,47.334,-114.956,696,90
C_ID_011bf44eb3,2017-10,cash_back,37.498,-101.445,384,29
C_ID_011fd53426,2017-11,travel,37.191,-94.223,670,30
C_ID_0123ac9245,2016-03,cash_back,38.54,-98.189,335,29
C_ID_0123e5fd03,2017-07,cash_back,40.557,-110.5,818,38
C_ID_0124704f68,2016-12,dining_entertainment,30.484,-103.988,389,23
C_ID_012819f081,2017-04,cash_back,42.912,-76.523,648,57
C_ID_012c920045,2017-03,cash_back,40.103,-90.858,727,66
C_ID_0130a17a43,2017-09,cash_back,33.39,-100.06,663,87
C_ID_013327ad31,2016-08,cash_back,44.166,-113.886,503,84
C_ID_01348868c8,2017-05,cash_back,42.019,-98.356,618,91
C_ID_0134b625d2,2017-03,travel,43.265,-100.324,680,32
C_ID_0134f3f984,2017-05,cash_back,48.287,-103.395,836,93
C_ID_013532ea2a,2017-08,cash_back,46.891,-102.218,839,51
C_ID_0136bb3c46,2016-10,travel,41.284,-85.826,833,47
C_ID_01398d09ad,2016-10,dining_entertainment,37.422,-108.075,645,70
C_ID_013c5617bd,2016-10,cash_back,42.271,-107.058,570,32
C_ID_01400707eb,2017-12,cash_back,41.518,-76.205,755,95
C_ID_0140402761,2016-11,cash_back,36.706,-102.635,730,99
C_ID_01435a1aa8,2016-05,travel,36.023,-82.967,818,32
C_ID_014502fd24,2017-10,cash_back,44.361,-73.232,419,40
C_ID_01461e6eec,2017-03,cash_back,39.103,-83.967,365,21
C_ID_0146b7f055,2017-05,cash_back,38.996,-118.867,607,68
C_ID_01472b44cd,2017-01,cash_back,39.265,-81.152,725,59
C_ID_0148d6ad75,2017-03,travel,40.337,-84.918,448,73
C_ID_014a4ba118,2017-10,cash_back,39.66,-74.741,329,69
C_ID_014ada68f0,2016-05,cash_back,30.712,-91.742,551,85
C_ID_014afee956,2016-12,travel,41.966,-88.229,446,62
C_ID_015006a6d1,2017-05,travel,36.711,-117.66,582,37
C_ID_015032920e,2017-12,cash_back,48.199,-114.004,447,65
C_ID_01520983c9,2016-08,dining_entertainment,33.656,-92.081,432,25
C_ID_01526ebf6f,2017-06,cash_back,44.426,-92.914,836,38
C_ID_015380e4b7,2016-04,dining_entertainment,34.026,-107.678,435,42
C_ID_0153bf6eb7,2016-12,cash_back,44.556,-108.148,559,51
C_ID_015458670e,2014-04,travel,44.031,-88.9,430,45
C_ID_01573f3b3d,2017-10,travel,33.297,-81.805,833,36
C_ID_015972ee27,2017-05,cash_back,41.043,-74.095,677,82
C_ID_015a963336,2017-11,cash_back,36.14,-104.832,363,69
C_ID_015e52320a,2016-11,dining_entertainment,47.863,-123.073,715,23
C_ID_015ed84694,2016-10,cash_back,42.398,-92.11,844,28
C_ID_015f613dde,2015-08,travel,40.906,-91.431,563,24
C_ID_01635a67de,2016-06,cash_back,31.682,-87.796,438,32
C_ID_0163ce69cb,2017-12,cash_back,28.935,-95.919,312,32
C_ID_016511c6af,2017-04,travel,30.65,-99.375,572,61
C_ID_01676962c8,2017-10,cash_back,34.323,-101.733,558,31
C_ID_01690e0c0c,2016-11,cash_back,45.587,-84.997,739,31
C_ID_016bca3d67,2016-07,cash_back,42.189,-86.547,353,41
C_ID_016c784f2e,2017-10,cash_back,40.778,-120.404,351,22
C_ID_016e42580b,2017-11,travel,43.983,-110.818,404,56
C_ID_016edf6eb7,2016-12,travel,40.394,-103.318,727,44
C_ID_0170187eec,2017-01,cash_back,42.616,-96.463,367,39
C_ID_01726f1f56,2016-12,dining_entertainment,45.939,-118.443,617,60
C_ID_0172b6618b,2017-08,dining_entertainment,38.953,-122.973,453,30
C_ID_01761f3e3a,2017-09,cash_back,31.67,-94.821,303,37
C_ID_01784f3170,2017-07,travel,38.752,-92.742,702,20
C_ID_01789c606c,2017-09,dining_entertainment,30.664,-99.283,685,37
C_ID_01797738ac,2017-01,dining_entertainment,37.082,-102.957,480,74
C_ID_017a10f90a,2017-04,cash_back,34.852,-112.658,373,59
C_ID_017ae0db5a,2017-07,dining_entertainment,44.806,-104.418,343,55
C_ID_017ba4c5e2,2017-06,dining_entertainment,30.499,-88.918,769,21
C_ID_017bc88f76,2015-09,cash_back,41.211,-81.175,367,50
C_ID_017c51765b,2017-12,cash_back,47.125,-118.602,813,37
C_ID_017cdfea87,2017-08,dining_entertainment,34.852,-78.032,465,39
C_ID_017fbdd196,2017-04,cash_back,38.411,-80.028,322,68
C_ID_017ff3a0dd,2017-06,dining_entertainment,32.826,-79.965,678,53
C_ID_0180ccc72d,2015-09,cash_back,41.413,-74.758,601,26
C_ID_0181351f59,2017-07,dining_entertainment,44.183,-95.098,597,76
C_ID_01820ceab7,2017-02,cash_back,46.071,-115.959,683,25
C_ID_0182d9b6fa,2014-10,cash_back,46.316,-119.032,543,88
C_ID_018552c51e,2013-07,cash_back,31.886,-92.458,725,77
C_ID_0186260ea0,2017-12,cash_back,43.815,-115.682,359,47
C_ID_01890b34bb,2017-07,dining_entertainment,46.164,-96.204,375,24
C_ID_0189f720a6,2017-10,cash_back,46.397,-112.535,781,68
C_ID_018a43e788,2017-09,dining_entertainment,32.449,-103.479,394,46
C_ID_018c079b21,2017-04,dining_entertainment,43.464,-77.348,456,41
C_ID_01904d743d,2017-07,cash_back,36.37,-96.37,516,81
C_ID_0196a5d544,2016-02,cash_back,36.012,-118.259,425,53
C_ID_0199dde7dd,2016-12,cash_back,35.629,-103.975,835,58
C_ID_019a1f6bdc,2017-06,cash_back,39.865,-93.503,575,54
C_ID_019b19fd18,2015-11,dining_entertainment,44.145,-119.107,596,46
C_ID_019c25c6a3,2017-05,cash_back,31.785,-87.343,818,21
C_ID_019d2aa4ff,2016-11,travel,34.08,-98.915,765,43
C_ID_01a0597348,2017-05,cash_back,38.467,-82.228,422,55
C_ID_01a31f8ffc,2016-08,cash_back,34.095,-114.362,362,31
C_ID_01a43986a5,2017-10,cash_back,32.859,-96.712,332,62
C_ID_01a446e38a,2016-11,cash_back,48.41,-97.542,777,33
C_ID_01a4f0534a,2017-06,dining_entertainment,36.265,-91.889,362,58
C_ID_01abb53c1c,2017-06,travel,41.503,-89.123,423,27
C_ID_01ae60195e,2015-09,cash_back,43.112,-100.075,585,34
C_ID_01b1051e5e,2017-08,cash_back,38.401,-107.658,474,80
C_ID_01b1967c51,2017-07,cash_back,36.585,-114.96,557,66
C_ID_01b29e7c01,2017-08,cash_back,38.241,-90.663,566,92
C_ID_01b419e3d1,2017-04,cash_back,41.129,-77.394,726,80
C_ID_01b4c55312,2017-08,dining_entertainment,41.745,-111.111,423,38
C_ID_01b63ee664,2016-10,cash_back,39.966,-75.651,438,26
C_ID_01b65b4007,2017-10,cash_back,30.186,-97.701,343,21
C_ID_01b7a6a97c,2017-02,cash_back,47.854,-115.174,847,27
C_ID_01b90300a4,2017-09,cash_back,39.563,-74.652,746,24
C_ID_01bb02bc9b,2016-12,cash_back,35.302,-83.174,337,35
C_ID_01bb62c056,2017-09,dining_entertainment,38.445,-89.541,656,31
C_ID_01bc241fac,2017-03,dining_entertainment,48.712,-106.518,410,54
C_ID_01bc419b90,2017-02,cash_back,36.784,-90.123,712,100
C_ID_01be7e8895,2017-09,travel,37.943,-94.813,822,48
C_ID_01c1a5c84c,2015-08,cash_back,43.263,-87.317,723,53
C_ID_01c200b681,2017-05,dining_entertainment,36.9,-114.945,788,39
C_ID_01c484102e,2016-08,cash_back,38.404,-101.88,574,26
C_ID_01c7ac9f44,2016-12,dining_entertainment,46.188,-86.705,521,29
C_ID_01c93f8239,2014-12,cash_back,33.665,-108.352,832,27
C_ID_01cb5bf0cd,2016-04,dining_entertainment,34.411,-82.342,627,100
C_ID_01cf96f365,2015-10,cash_back,35.8,-84.367,545,63
C_ID_01d0dee2ab,2017-07,travel,44.147,-103.193,353,45
C_ID_01d4cc5855,2016-10,dining_entertainment,27.018,-98.239,713,37
C_ID_01d78e8370,2017-07,cash_back,43.981,-102.949,497,90
C_ID_01d7d6ea1d,2016-03,cash_back,47.029,-90.753,322,38
C_ID_01daa828f8,2017-09,cash_back,45.536,-119.983,640,54
C_ID_01db10c831,2016-04,cash_back,46.795,-123.163,845,58
C_ID_01dc72a2a0,2017-11,cash_back,35.748,-75.736,482,26
C_ID_01dc869004,2017-11,cash_back,37.33,-119.891,723,35
C_ID_01de7e4979,2017-03,cash_back,39.906,-113.946,435,77
C_ID_01e093b686,2017-03,travel,37.369,-100.51,428,20
C_ID_01e3376220,2016-12,travel,42.364,-86.896,626,84
C_ID_01e338896d,2017-09,dining_entertainment,42.63,-90.046,748,29
C_ID_01e340977e,2015-10,cash_back,34.817,-105.663,841,61
C_ID_01e366d478,2017-11,cash_back,40.322,-84.692,407,88
C_ID_01e3da6145,2017-05,dining_entertainment,33.549,-106.711,662,29
C_ID_01e431b645,2017-09,dining_entertainment,31.373,-95.979,369,44
C_ID_01e58e1475,2017-08,cash_back,32.057,-112.879,322,20
C_ID_01e5dba236,2015-09,cash_back,48.14,-99.682,706,24
C_ID_01e62f8875,2017-02,travel,45.88,-111.402,554,51
C_ID_01e7257607,2016-01,cash_back,48.097,-103.313,408,52
C_ID_01ea37f8f5,2016-10,travel,38.609,-94.95,518,73
C_ID_01ea8ea047,2017-09,cash_back,45.214,-94.685,479,35
C_ID_01ecacf527,2016-12,cash_back,39.491,-111.771,785,34
C_ID_01ee34d59b,2017-02,dining_entertainment,38.508,-112.92,556,61
C_ID_01f1eb142c,2017-11,cash_back,36.15,-107.584,367,71
C_ID_01f6b2bf74,2017-09,cash_back,48.299,-113.666,692,21
C_ID_01f7372826,2017-11,cash_back,40.28,-91.662,405,37
C_ID_01f81a8601,2017-12,dining_entertainment,39.253,-119.177,849,31
C_ID_01fa62c6e8,2016-12,dining_entertainment,35.039,-90.253,799,52
C_ID_01ffa2751a,2017-10,cash_back,46.69,-97.506,485,53
C_ID_020402b961,2017-07,travel,38.215,-99.773,840,70
C_ID_0206203e00,2016-06,cash_back,34.993,-78.567,640,68
C_ID_0206ca2ff8,2016-09,cash_back,43.632,-109.665,367,56
C_ID_0206f999c3,2017-09,cash_back,45.757,-92.916,544,91
C_ID_02099a40c4,2017-09,cash_back,46.641,-84.871,357,62
C_ID_0209b9aee3,2017-04,cash_back,37.041,-104.662,495,37
C_ID_020ae974ca,2017-04,cash_back,45.773,-87.923,423,23
C_ID_020caa3c52,2017-07,cash_back,39.77,-80.381,554,78
C_ID_020ce20852,2015-06,travel,37.903,-96.943,631,24
C_ID_020f1161ba,2017-10,cash_back,40.855,-81.742,498,82
C_ID_0211004da6,2016-12,cash_back,41.901,-123.347,720,89
C_ID_0211323f5e,2016-09,dining_entertainment,40.136,-120.56,508,56
C_ID_021241588a,2017-07,cash_back,39.265,-88.147,356,61
C_ID_0212c2ae0b,2017-10,cash_back,36.858,-109.336,303,43
C_ID_0213829725,2016-08,dining_entertainment,42.36,-74.091,460,34
C_ID_02146420f7,2017-09,cash_back,41.341,-85.3,701,50
C_ID_02153f7565,2017-08,cash_back,30.042,-103.485,382,85
C_ID_0217753ef3,2015-05,travel,46.09,-108.144,570,66
C_ID_0217fe10fa,2017-12,cash_back,43.72,-83.077,313,47
C_ID_0218e97381,2016-11,cash_back,41.759,-81.143,303,21
C_ID_0219320b89,2017-02,travel,43.657,-93.66,377,43
C_ID_0219a591d5,2017-05,travel,41.798,-96.686,402,68
C_ID_0219c1f750,2014-04,cash_back,48.738,-106.795,603,74
C_ID_021f7e7e36,2017-08,travel,45.992,-104.79,412,69
C_ID_0224069a99,2016-05,cash_back,39.134,-81.649,779,36
C_ID_022421d026,2017-09,cash_back,45.763,-105.765,304,43
C_ID_02243372b2,2015-04,cash_back,35.675,-115.375,398,24
C_ID_0224a8f43c,2017-04,travel,32.091,-106.076,313,24
C_ID_0225b7a3a0,2017-01,cash_back,48.976,-114.829,604,26
C_ID_022a9cfef9,2016-05,dining_entertainment,37.865,-79.733,328,64
C_ID_022b48f3ac,2016-11,dining_entertainment,48.35,-99.141,415,39
C_ID_022b7d73e6,2017-04,cash_back,37.455,-78.126,722,88
C_ID_022bb2b3e7,2016-08,cash_back,40.039,-78.033,328,33
C_ID_022bfc3094,2017-04,cash_back,39.064,-119.262,408,86
C_ID_022d32ff14,2017-09,cash_back,48.262,-98.655,776,47
C_ID_022d801273,2016-04,cash_back,45.013,-114.209,508,57
C_ID_022e58599f,2015-02,dining_entertainment,31.42,-100.479,848,21
C_ID_022f1a032d,2017-09,travel,47.578,-86.755,680,62
C_ID_02343cd53f,2017-05,cash_back,46.352,-116.263,758,99
C_ID_02367f531e,2017-02,cash_back,44.912,-86.803,825,42
C_ID_0236aa79e9,2017-11,cash_back,44.416,-74.575,677,38
C_ID_0236f2c01a,2017-12,dining_entertainment,42.035,-121.312,633,18
C_ID_023a0db893,2015-07,travel,41.465,-103.786,302,47
C_ID_023cb2ad47,2015-11,cash_back,42.865,-78.34,388,60
C_ID_023d7a2f6c,2017-07,cash_back,34.166,-111.629,543,50
C_ID_023ee72d50,2017-05,dining_entertainment,43.314,-88.97,539,24
C_ID_023fe3843f,2017-04,cash_back,34.223,-116.228,446,68
C_ID_0240cce8f8,2017-11,cash_back,41.299,-74.271,779,82
C_ID_02441ca088,2017-10,cash_back,35.33,-106.551,796,22
C_ID_0244700f85,2016-12,travel,30.427,-85.607,309,46
C_ID_0247973751,2017-05,dining_entertainment,43.985,-83.727,429,31
C_ID_0249dd9479,2017-09,travel,41.004,-112.057,405,26
C_ID_024b5a13b7,2017-10,travel,43.563,-118.816,351,52
C_ID_024bf1d00e,2017-06,cash_back,45.702,-112.531,421,27
C_ID_024c860978,2017-07,cash_back,44.301,-93.532,397,43
C_ID_024f6b4f6b,2016-12,cash_back,41.584,-72.006,399,99
C_ID_024fcecb4d,2017-06,dining_entertainment,40.521,-102.106,650,23
C_ID_02506cd49b,2017-02,cash_back,46.902,-92.197,707,80
C_ID_025163db79,2017-07,cash_back,40.72,-112.797,804,61
C_ID_025306aa6c,2017-10,dining_entertainment,32.796,-86.24,663,38
C_ID_0254628688,2017-10,dining_entertainment,36.081,-111.312,415,32
C_ID_02554c0ceb,2014-07,travel,36.098,-119.664,328,25
C_ID_02556a66df,2017-09,cash_back,46.559,-119.647,429,67
C_ID_0256a0214b,2016-11,cash_back,43.654,-115.293,750,68
C_ID_0257b4e0c0,2017-01,cash_back,39.808,-103.009,607,43
C_ID_0259184469,2016-12,cash_back,34.808,-119.534,764,27
C_ID_02592a22af,2017-09,travel,47.682,-123.37,794,50
C_ID_0259ad8a27,2017-06,travel,45.904,-94.929,651,88
C_ID_025d464f9e,2016-12,cash_back,40.448,-117.887,338,21
C_ID_025d90d2a4,2017-08,cash_back,30.662,-81.87,761,31
C_ID_025f21cf73,2017-10,travel,34.199,-81.746,416,19
C_ID_026092c865,2015-11,travel,45.811,-94.0,485,49
C_ID_02635b4dcb,2016-07,cash_back,33.685,-114.299,599,20
C_ID_026376a0fb,2016-09,cash_back,32.849,-89.718,811,40
C_ID_0267304a12,2017-06,cash_back,41.761,-107.973,604,20
C_ID_0269899d2e,2017-08,cash_back,36.326,-86.194,712,31
C_ID_026a127f4d,2016-08,cash_back,38.049,-119.078,572,87
