User ID,Gender,Age,EstimatedSalary,Purchased
15809347,Female,41,71000,no
15660866,Female,58,101000,yes
15766609,Female,47,47000,no
15654230,Female,55,130000,yes
15794566,Female,52,114000,no
15800890,Female,40,142000,yes
15697424,Female,46,22000,no
15724536,Female,48,96000,yes
15735878,Male,52,150000,yes
15707596,Female,59,42000,no
15657163,Male,35,58000,no
15622478,Male,47,43000,no
15779529,Female,60,108000,yes
15636023,Male,49,65000,no
15582066,Male,40,78000,no
15666675,Female,46,96000,no
15732987,Male,59,143000,yes
15789432,Female,41,80000,no
15663161,Male,35,91000,yes
15694879,Male,37,144000,yes
15593715,Male,60,102000,yes
15575002,Female,35,60000,no
15622171,Male,37,53000,no
15795224,Female,36,126000,yes
15685346,Male,56,133000,yes
15691808,Female,40,72000,no
15721007,Female,42,80000,yes
15794253,Female,35,147000,yes
15694453,Male,39,42000,no
15813113,Male,40,107000,yes
15614187,Male,49,86000,yes
15619407,Female,38,112000,no
15646227,Male,46,79000,yes
15660541,Male,40,57000,no
15753874,Female,37,80000,no
15617877,Female,46,82000,no
15772073,Female,53,143000,yes
15701537,Male,42,149000,yes
15736228,Male,38,59000,no
15780572,Female,50,88000,yes
15769596,Female,56,104000,yes
15586996,Female,41,72000,no
15722061,Female,51,146000,yes
15638003,Female,35,50000,no
15775590,Female,57,122000,yes
15730688,Male,41,52000,no
15753102,Female,35,97000,yes
15810075,Female,44,39000,no
15723373,Male,37,52000,no
15795298,Female,48,134000,yes
15584320,Female,37,146000,yes
15724161,Female,50,44000,no
15750056,Female,52,90000,yes
15609637,Female,41,72000,no
15794493,Male,40,57000,no
15569641,Female,58,95000,yes
15815236,Female,45,131000,yes
15811177,Female,35,77000,no
15680587,Male,36,144000,yes
15672821,Female,55,125000,yes
15767681,Female,35,72000,no
15600379,Male,48,90000,yes
15801336,Female,42,108000,yes
15721592,Male,40,75000,no
15581282,Male,37,74000,no
15746203,Female,47,144000,yes
15583137,Male,40,61000,no
15680752,Female,43,133000,no
15688172,Female,59,76000,yes
15791373,Male,60,42000,yes
15589449,Male,39,106000,yes
15692819,Female,57,26000,yes
15727467,Male,57,74000,yes
15734312,Male,38,71000,no
15764604,Male,49,88000,yes
15613014,Female,52,38000,yes
15759684,Female,50,36000,yes
15609669,Female,59,88000,yes
15685536,Male,35,61000,no
15750447,Male,37,70000,yes
15663249,Female,52,21000,yes
15638646,Male,48,141000,no
15734161,Female,37,93000,yes
15631070,Female,37,62000,no
15761950,Female,48,138000,yes
15649668,Male,41,79000,no
15713912,Female,37,78000,yes
15586757,Male,39,134000,yes
15596522,Male,49,89000,yes
15625395,Male,55,39000,yes
15760570,Male,37,77000,no
15566689,Female,35,57000,no
15725794,Female,36,63000,no
15673539,Male,42,73000,yes
15705298,Female,43,112000,yes
15675791,Male,45,79000,no
15747043,Male,46,117000,yes
15736397,Female,58,38000,yes
15678201,Male,48,74000,yes
15720745,Female,37,137000,yes
15637593,Male,37,79000,yes
15598070,Female,40,60000,no
15787550,Male,42,54000,no
15603942,Female,51,134000,no
15733973,Female,47,113000,yes
15596761,Male,36,125000,yes
15652400,Female,38,50000,no
15717893,Female,42,70000,no
15622585,Male,39,96000,yes
15733964,Female,38,50000,no
15753861,Female,49,141000,yes
15747097,Female,39,79000,no
15594762,Female,39,75000,yes
15667417,Female,54,104000,yes
15684861,Male,35,55000,no
15742204,Male,45,32000,yes
15623502,Male,36,60000,no
15774872,Female,52,138000,yes
15611191,Female,53,82000,yes
15674331,Male,41,52000,no
15619465,Female,48,30000,yes
15575247,Female,48,131000,yes
15695679,Female,41,60000,no
15713463,Male,41,72000,no
15785170,Female,42,75000,no
15796351,Male,36,118000,yes
15639576,Female,47,107000,yes
15693264,Male,38,51000,no
15589715,Female,48,119000,yes
15769902,Male,42,65000,no
15587177,Male,40,65000,no
15814553,Male,57,60000,yes
15601550,Female,36,54000,no
15664907,Male,58,144000,yes
15612465,Male,35,79000,no
15810800,Female,38,55000,no
15665760,Male,39,122000,yes
15588080,Female,53,104000,yes
15776844,Male,35,75000,no
15717560,Female,38,65000,no
15629739,Female,47,51000,yes
15729908,Male,47,105000,yes
15716781,Female,41,63000,no
15646936,Male,53,72000,yes
15768151,Female,54,108000,yes
15579212,Male,39,77000,no
15721835,Male,38,61000,no
15800515,Female,38,113000,yes
15591279,Male,37,75000,no
15587419,Female,42,90000,yes
15750335,Female,37,57000,no
15699619,Male,36,99000,yes
15606472,Male,60,34000,yes
15778368,Male,54,70000,yes
15671387,Female,41,72000,no
15573926,Male,40,71000,yes
15709183,Male,42,54000,no
15577514,Male,43,129000,yes
15778830,Female,53,34000,yes
15768072,Female,47,50000,yes
15768293,Female,42,79000,no
15654456,Male,42,104000,yes
15807525,Female,59,29000,yes
15574372,Female,58,47000,yes
15671249,Male,46,88000,yes
15779744,Male,38,71000,no
15624755,Female,54,26000,yes
15611430,Female,60,46000,yes
15774744,Male,60,83000,yes
15629885,Female,39,73000,no
15708791,Male,59,130000,yes
15793890,Female,37,80000,no
15646091,Female,46,32000,yes
15596984,Female,46,74000,no
15800215,Female,42,53000,no
15577806,Male,41,87000,yes
15749381,Female,58,23000,yes
15683758,Male,42,64000,no
15670615,Male,48,33000,yes
15715622,Female,44,139000,yes
15707634,Male,49,28000,yes
15806901,Female,57,33000,yes
15775335,Male,56,60000,yes
15724150,Female,49,39000,yes
15627220,Male,39,71000,no
15672330,Male,47,34000,yes
15668521,Female,48,35000,yes
15807837,Male,48,33000,yes
15592570,Male,47,23000,yes
15748589,Female,45,45000,yes
15635893,Male,60,42000,yes
15757632,Female,39,59000,no
15691863,Female,46,41000,yes
15706071,Male,51,23000,yes
15654296,Female,50,20000,yes
15755018,Male,36,33000,no
15594041,Female,49,36000,yes
