,target,text
119,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
121,spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
122,ham,here is my new address -apples&pairs&all that malarky
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
124,ham,I am going to sao mu today. Will be done only at 12 
125,ham,Ü predict wat time ü'll finish buying?
126,ham,"Good stuff, will do."
127,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
128,ham,Are you there in room.
129,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
130,ham,K..k:)how much does it cost?
131,ham,I'm home.
132,ham,"Dear, will call Tmorrow.pls accomodate."
133,ham,First answer my question.
134,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
136,ham,I only haf msn. It's yijue@hotmail.com
137,ham,He is there. You call and meet him
138,ham,No no. I will check all rooms befor activities
139,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
140,ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
141,ham,"K, text me when you're on the way"
142,ham,"Sir, Waiting for your mail."
143,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
144,ham,I know you are. Can you pls open the back?
145,ham,Yes see ya not on the dot
146,ham,Whats the staff name who is taking class for us?
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
148,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
149,ham,K..i deleted my contact that why?
150,ham,Sindu got job in birla soft ..
151,ham,The wine is flowing and i'm i have nevering..
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
153,ham,Ok... Ur typical reply...
154,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
155,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
156,ham,Aaooooright are you at work?
157,ham,I'm leaving my house now...
158,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
159,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
160,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
161,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
162,ham,New car and house for my parents.:)i have only new job in hand:)
163,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
164,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
165,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
166,ham,I place all ur points on e cultures module already.
167,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
168,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
169,ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
170,ham,Yes :)it completely in out of form:)clark also utter waste.
171,ham,"Sir, I need AXIS BANK account no and bank address."
172,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
173,ham,What time you coming down later? 
174,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
175,ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
176,ham,Let me know when you've got the money so carlos can make the call
177,ham,U still going to the mall?
178,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
179,ham,Text her. If she doesnt reply let me know so i can have her log in
180,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
181,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
182,ham,Lol no. U can trust me.
183,ham,ok. I am a gentleman and will treat you with dignity and respect.
184,ham,"He will, you guys close?"
185,ham,Going on nothing great.bye
186,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
187,ham,"Haha awesome, be there in a minute"
188,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
189,ham,Have you got Xmas radio times. If not i will get it now
190,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
192,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
193,ham,Hi :)finally i completed the course:)
194,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
195,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
196,ham,Gud mrng dear hav a nice day
197,ham,Did u got that persons story
198,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
199,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
200,ham,"Found it, ENC  &lt;#&gt; , where you at?"
201,ham,I sent you  &lt;#&gt;  bucks
202,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
203,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
204,ham,Goodmorning sleeping ga.
205,ham,U call me alter at 11 ok.
206,ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
207,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
208,ham,"Aight yo, dats straight dogg"
209,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
210,ham,Both :) i shoot big loads so get ready!
211,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
212,ham,Home so we can always chat
213,ham,K:)k:)good:)study well.
214,ham,Yup... How ü noe leh...
215,ham,Sounds great! Are you home now?
216,ham,Finally the match heading towards draw as your prediction.
217,ham,Tired. I haven't slept well the past few nights.
218,ham,Easy ah?sen got selected means its good..
219,ham,I have to take exam with march 3
220,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
221,ham,Ok no prob. Take ur time.
222,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
223,ham,"Sorry, I'll call later"
224,ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
225,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
226,ham,Would really appreciate if you call me. Just need someone to talk to.
227,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
228,ham,Hey company elama po mudyadhu.
229,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
230,ham,Dear good morning now only i am up
231,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
232,ham,Dear we are going to our rubber place
233,ham,"Sorry battery died, yeah I'm here"
234,ham,Yes:)here tv is always available in work place..
235,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
236,ham,I have printed it oh. So  &lt;#&gt;  come upstairs
237,ham,Or ill be a little closer like at the bus stop on the same street
238,ham,Where are you?when wil you reach here?
239,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
240,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
241,ham,Tomarrow final hearing on my laptop case so i cant.
242,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
243,ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
244,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
245,ham,U don't remember that old commercial?
246,ham,Too late. I said i have the website. I didn't i have or dont have the slippers
247,ham,I asked you to call him now ok
248,ham,Kallis wont bat in 2nd innings.
249,ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
250,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
251,ham,Ranjith cal drpd Deeraj and deepak 5min hold
252,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
253,ham,What you doing?how are you?
254,ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
255,ham,"I'm back, lemme know when you're ready"
256,ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
257,ham,Mmm so yummy babe ... Nice jolt to the suzy
258,ham,Where are you lover ? I need you ...
259,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
260,ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?
261,ham,Yup
262,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
263,ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
264,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
265,ham,Why you Dint come with us.
266,ham,Same. Wana plan a trip sometme then
267,ham,"Not sure yet, still trying to get a hold of him"
268,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
269,ham,The evo. I just had to download flash. Jealous?
270,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
271,ham,"Come to mu, we're sorting out our narcotics situation"
272,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
273,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
274,ham,"Usf I guess, might as well take 1 car"
275,ham,No objection. My bf not coming.
276,ham,Thanx...
277,ham,Tell rob to mack his gf in the theater
278,ham,"Awesome, I'll see you in a bit"
279,ham,Just sent it. So what type of food do you like?
280,ham,All done? All handed in? Celebrations in full swing yet?
281,ham,You got called a tool?
282,ham,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
283,ham,Ok. I asked for money how far
284,ham,Okie...
285,ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
286,ham,"K, I might come by tonight then if my class lets out early"
287,ham,Ok..
288,ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
289,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
290,ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
291,ham,Hey you told your name to gautham ah?
292,ham,Haf u found him? I feel so stupid da v cam was working.
293,ham,Oops. 4 got that bit.
294,ham,Are you this much buzy
295,ham,I accidentally deleted the message. Resend please.
296,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
297,ham,Unless it's a situation where YOU GO GURL would be more appropriate
298,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
299,ham,I cant pick the phone right now. Pls send a message
300,ham,Need a coffee run tomo?Can't believe it's that time of week already
301,ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
302,ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
303,ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
304,ham,He is a womdarfull actor
305,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
306,ham,Yup... From what i remb... I think should be can book... 
307,ham,Jos ask if u wana meet up?
308,ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
309,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
310,ham,Where are the garage keys? They aren't on the bookshelf
311,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
312,spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
313,ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
314,ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
315,ham,You made my day. Do have a great day too.
316,ham,K.k:)advance happy pongal.
317,ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
318,ham,"Not really dude, have no friends i'm afraid :("
319,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
320,ham,"Coffee cake, i guess..."
321,ham,"Merry Christmas to you too babe, i love ya *kisses*"
322,ham,Hey... Why dont we just go watch x men and have lunch... Haha 
323,ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
324,ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
325,ham,No problem. How are you doing?
326,ham,No calls..messages..missed calls
327,ham,Hi da:)how is the todays class?
328,ham,"I'd say that's a good sign but, well, you know my track record at reading women"
329,ham,"Cool, text me when you're parked"
330,ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
331,ham,K.k:)apo k.good movie.
332,ham,Maybe i could get book out tomo then return it immediately ..? Or something.
333,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
334,ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
335,spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
336,ham,"Ta-Daaaaa! I am home babe, are you still up ?"
337,ham,Cool. So how come you havent been wined and dined before?
338,ham,Just sleeping..and surfing
339,ham,"Sorry, I'll call later"
340,ham,U calling me right? Call my hand phone...
341,ham,Ok that's great thanx a lot.
342,ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
343,ham,Where u been hiding stranger?
344,ham,Am not interested to do like that.
345,ham,My sister cleared two round in birla soft yesterday.
346,ham,Gudnite....tc...practice going on
347,ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
348,ham,One small prestige problem now.
349,spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
350,ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
351,ham,"Nah can't help you there, I've never had an iphone"
352,ham,If you're not in my car in an hour and a half I'm going apeshit
353,ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
354,ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
355,ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
